Chr1	100000	104000
Chr1	1366000	1401000
Chr1	1439000	1443000
Chr1	1451000	1484000
Chr1	1489000	1502000
Chr1	1682000	1684000
Chr1	2180000	2201000
Chr1	2298000	2307000
Chr1	2335000	2338000
Chr1	2382000	2385000
Chr1	2439000	2519000
Chr1	2535000	2543000
Chr1	2570000	2578000
Chr1	2591000	2601000
Chr1	2617000	2635000
Chr1	2731000	2826000
Chr1	2889000	2892000
Chr1	2938000	2949000
Chr1	2989000	3027000
Chr1	3069000	3083000
Chr1	3138000	3141000
Chr1	3144000	3311000
Chr1	3308000	3321000
Chr1	3753000	3755000
Chr1	4193000	4195000
Chr1	4598000	4611000
Chr1	4639000	4645000
Chr1	4854000	4869000
Chr1	4932000	4945000
Chr1	4987000	4989000
Chr1	7821000	7823000
Chr1	8014000	8017000
Chr1	8236000	8238000
Chr1	8773000	8780000
Chr1	8804000	8810000
Chr1	8817000	8828000
Chr1	9029000	9033000
Chr1	10053000	10055000
Chr1	10568000	10570000
Chr1	10947000	10950000
Chr1	11238000	11241000
Chr1	11401000	11404000
Chr1	12090000	12097000
Chr1	13955000	13958000
Chr1	14177000	14190000
Chr1	14773000	14775000
Chr1	14974000	14977000
Chr1	14990000	14992000
Chr1	15009000	15012000
Chr1	15758000	15760000
Chr1	15786000	15792000
Chr1	16748000	16759000
Chr1	16790000	16809000
Chr1	16846000	16848000
Chr1	17650000	17652000
Chr1	18506000	18517000
Chr1	18541000	18589000
Chr1	20732000	20734000
Chr1	20754000	20760000
Chr1	20843000	20845000
Chr1	21338000	21341000
Chr1	22227000	22229000
Chr1	22386000	22392000
Chr1	23304000	23307000
Chr1	23344000	23348000
Chr1	23354000	23357000
Chr1	23382000	23384000
Chr1	23427000	23431000
Chr1	23474000	23484000
Chr1	23502000	23507000
Chr1	23518000	23524000
Chr1	23526000	23530000
Chr1	23561000	23568000
Chr1	23596000	23607000
Chr1	23804000	23806000
Chr1	23825000	23827000
Chr1	23899000	23909000
Chr1	25141000	25143000
Chr1	26129000	26131000
Chr1	26499000	26507000
Chr1	29253000	29255000
Chr1	29389000	29391000
Chr1	30566000	30568000
Chr1	35443000	35457000
Chr1	35466000	35470000
Chr1	36822000	36830000
